date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:32	2622/2622	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:32%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Finfinite-scroll-blog-ts%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed5f2a	(from http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/)
17:47:32	3667/3667	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec3-e53%22	http://marqgray.github.io/wp-content/uploads/2017/01/landscape6.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/landscape6.jpg	(from http://marqgray.github.io/portfolio/hangman-game-ts/)
17:47:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:32%20GMT	http://marqgray.github.io/?p=3622	C:/My%20Web%20Sites/Portfolio/indexf400.html	(from http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/)
17:47:32	763/763	---MC-	200	added ('OK')	application/rss+xml	etag:%224b3eeb5967b5c87a49fd49ee77e9414e%22	http://marqgray.github.io/portfolio/hangman-game-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/hangman-game-ts/feed/index.html	(from http://marqgray.github.io/portfolio/hangman-game-ts/)
17:47:32	1890/1890	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:32%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3620	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3620.json	(from http://marqgray.github.io/portfolio/hangman-game-ts/)
17:47:32	2465/2465	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:32%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fhangman-game-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embedf2d6.json	(from http://marqgray.github.io/portfolio/hangman-game-ts/)
17:47:33	2583/2583	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:33%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fhangman-game-ts%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embedacbc	(from http://marqgray.github.io/portfolio/hangman-game-ts/)
17:47:33	3592/3592	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec3-e08%22	http://marqgray.github.io/wp-content/uploads/2017/01/landscape1.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/landscape1.jpg	(from http://marqgray.github.io/portfolio/expense-tracker-ts/)
17:47:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:33%20GMT	http://marqgray.github.io/?p=3620	C:/My%20Web%20Sites/Portfolio/indexab3c.html	(from http://marqgray.github.io/portfolio/hangman-game-ts/)
17:47:33	772/772	---MC-	200	added ('OK')	application/rss+xml	etag:%22280439cb0ce6548684f1b325550e7507%22	http://marqgray.github.io/portfolio/expense-tracker-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/expense-tracker-ts/feed/index.html	(from http://marqgray.github.io/portfolio/expense-tracker-ts/)
17:47:33	1899/1899	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:33%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3618	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3618.json	(from http://marqgray.github.io/portfolio/expense-tracker-ts/)
17:47:33	2480/2480	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:33%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fexpense-tracker-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed3260.json	(from http://marqgray.github.io/portfolio/expense-tracker-ts/)
17:47:34	2598/2598	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:34%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fexpense-tracker-ts%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embedf434	(from http://marqgray.github.io/portfolio/expense-tracker-ts/)
17:47:34	4112/4112	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec6-1010%22	http://marqgray.github.io/wp-content/uploads/2017/01/landscape4.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/landscape4.jpg	(from http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/)
17:47:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:34%20GMT	http://marqgray.github.io/?p=3618	C:/My%20Web%20Sites/Portfolio/index634e.html	(from http://marqgray.github.io/portfolio/expense-tracker-ts/)
17:47:34	799/799	---MC-	200	added ('OK')	application/rss+xml	etag:%2272f3b4216f660b12ddbd0a5df396910f%22	http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/exchange-rate-calculator-ts/feed/index.html	(from http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/)
17:47:34	1926/1926	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:34%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3616	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3616.json	(from http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/)
17:47:34	2525/2525	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:34%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fexchange-rate-calculator-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embede712.json	(from http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/)
17:47:35	2643/2643	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:35%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fexchange-rate-calculator-ts%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed50c0	(from http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/)
17:47:35	3338/3338	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec2-d0a%22	http://marqgray.github.io/wp-content/uploads/2017/01/landscape5.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/landscape5.jpg	(from http://marqgray.github.io/portfolio/custom-video-player-ts/)
17:47:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:35%20GMT	http://marqgray.github.io/?p=3616	C:/My%20Web%20Sites/Portfolio/index08ab.html	(from http://marqgray.github.io/portfolio/exchange-rate-calculator-ts/)
17:47:35	784/784	---MC-	200	added ('OK')	application/rss+xml	etag:%2290592dbfa77dce368116116aef5e7abc%22	http://marqgray.github.io/portfolio/custom-video-player-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/custom-video-player-ts/feed/index.html	(from http://marqgray.github.io/portfolio/custom-video-player-ts/)
17:47:35	1911/1911	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:35%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3614	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3614.json	(from http://marqgray.github.io/portfolio/custom-video-player-ts/)
17:47:35	2500/2500	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:35%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fcustom-video-player-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed5322.json	(from http://marqgray.github.io/portfolio/custom-video-player-ts/)
